exp_id,alg,episodes,gamma,reward_signal,epsilon,epsilon_decay,lr,lr_decay,reward_train,reward_test,time,optimality
REINFORCE,96.0,500,0.99,default,0.0,none,0.1,0.99,-772.404,-620.85,0.6862,22
REINFORCE,97.0,500,0.99,default,0.0,none,0.1,0.5,-1354.352,-1198.9,0.7219,30
REINFORCE,98.0,500,0.99,default,0.0,none,0.01,0.99,-830.992,-788.05,0.7147,29
REINFORCE,99.0,500,0.99,default,0.0,none,0.01,0.5,-1274.616,-807.85,0.73,26
REINFORCE,100.0,500,0.99,default,0.0,none,0.001,0.99,-988.358,-210.65,0.7218,26
REINFORCE,101.0,500,0.99,default,0.0,none,0.001,0.5,-1016.648,-1055.35,0.71,29
REINFORCE,102.0,500,0.99,custom,0.0,none,0.1,0.99,-1171.716,-1154.35,0.7279,28
REINFORCE,103.0,500,0.99,custom,0.0,none,0.1,0.5,-1294.682,-1436.5,0.7188,30
REINFORCE,104.0,500,0.99,custom,0.0,none,0.01,0.99,-298.242,-117.6,0.7251,27
REINFORCE,105.0,500,0.99,custom,0.0,none,0.01,0.5,-910.604,-991.0,0.7282,25
REINFORCE,106.0,500,0.99,custom,0.0,none,0.001,0.99,-414.998,-164.35,0.7293,27
REINFORCE,107.0,500,0.99,custom,0.0,none,0.001,0.5,-779.02,-228.7,0.7397,32
REINFORCE,108.0,500,0.75,default,0.0,none,0.1,0.99,-267.418,-226.55,0.7168,20
REINFORCE,109.0,500,0.75,default,0.0,none,0.1,0.5,-668.17,-595.0,0.7431,28
REINFORCE,110.0,500,0.75,default,0.0,none,0.01,0.99,-197.876,-97.2,0.7243,29
REINFORCE,111.0,500,0.75,default,0.0,none,0.01,0.5,-533.292,-322.75,0.7335,21
REINFORCE,112.0,500,0.75,default,0.0,none,0.001,0.99,-518.648,-97.85,0.7391,28
REINFORCE,113.0,500,0.75,default,0.0,none,0.001,0.5,-965.866,-317.8,0.7347,28
REINFORCE,114.0,500,0.75,custom,0.0,none,0.1,0.99,-323.54,-228.7,0.7318,24
