exp_id,alg,episodes,gamma,reward_signal,epsilon,epsilon_decay,lr,lr_decay,reward_train,reward_test,time,optimality
actor_critic,24.0,500,0.99,default,0.0,none,0.1,0,-101.884,-95.2,0.8774,13
actor_critic,25.0,500,0.99,default,0.0,none,0.01,0,-116.866,-95.25,1.0282,16
actor_critic,26.0,500,0.99,default,0.0,none,0.001,0,-205.018,-124.75,1.0064,24
actor_critic,27.0,500,0.99,custom,0.0,none,0.1,0,-105.84,-69.6,0.8697,14
actor_critic,28.0,500,0.99,custom,0.0,none,0.01,0,-116.438,-99.2,0.9959,21
actor_critic,29.0,500,0.99,custom,0.0,none,0.001,0,-206.164,-149.5,1.0188,24
actor_critic,30.0,500,0.75,default,0.0,none,0.1,0,-98.844,-90.9,0.9443,19
actor_critic,31.0,500,0.75,default,0.0,none,0.01,0,-117.218,-97.35,1.0012,22
actor_critic,32.0,500,0.75,default,0.0,none,0.001,0,-204.292,-126.1,1.0064,23
actor_critic,33.0,500,0.75,custom,0.0,none,0.1,0,-99.452,-84.0,0.9451,13
actor_critic,34.0,500,0.75,custom,0.0,none,0.01,0,-117.52,-95.55,1.0104,23
actor_critic,35.0,500,0.75,custom,0.0,none,0.001,0,-200.72,-139.4,1.0156,21
actor_critic,36.0,500,0.5,default,0.0,none,0.1,0,-106.354,-94.75,0.9923,23
actor_critic,37.0,500,0.5,default,0.0,none,0.01,0,-117.224,-97.2,1.0022,21
actor_critic,38.0,500,0.5,default,0.0,none,0.001,0,-200.11,-132.1,1.015,26
actor_critic,39.0,500,0.5,custom,0.0,none,0.1,0,-102.538,-95.35,0.9938,20
actor_critic,40.0,500,0.5,custom,0.0,none,0.01,0,-117.276,-99.75,0.9903,22
actor_critic,41.0,500,0.5,custom,0.0,none,0.001,0,-202.854,-124.75,1.0131,16
actor_critic,42.0,500,0.25,default,0.0,none,0.1,0,-110.78,-95.55,0.9862,21
actor_critic,43.0,500,0.25,default,0.0,none,0.01,0,-117.72,-94.1,0.9906,16
actor_critic,44.0,500,0.25,default,0.0,none,0.001,0,-201.776,-160.85,1.0043,21
actor_critic,45.0,500,0.25,custom,0.0,none,0.1,0,-105.056,-98.5,0.9961,25
actor_critic,46.0,500,0.25,custom,0.0,none,0.01,0,-117.492,-97.8,0.9975,18
actor_critic,47.0,500,0.25,custom,0.0,none,0.001,0,-201.418,-164.35,1.0168,21
actor_critic,48.0,4000,0.99,default,0.0,none,0.1,0,-81.1248,-71.85,5.8038,13
actor_critic,49.0,4000,0.99,default,0.0,none,0.01,0,-87.1432,-82.45,6.912,6
actor_critic,50.0,4000,0.99,default,0.0,none,0.001,0,-118.1142,-92.85,8.6968,21
actor_critic,51.0,4000,0.99,custom,0.0,none,0.1,0,-69.0495,-62.05,5.6607,6
actor_critic,52.0,4000,0.99,custom,0.0,none,0.01,0,-85.7845,-74.25,6.7968,5
actor_critic,53.0,4000,0.99,custom,0.0,none,0.001,0,-118.0425,-99.95,9.4934,19
actor_critic,54.0,4000,0.75,default,0.0,none,0.1,0,-84.4608,-70.0,6.8339,11
actor_critic,55.0,4000,0.75,default,0.0,none,0.01,0,-94.459,-87.2,7.4468,7
actor_critic,56.0,4000,0.75,default,0.0,none,0.001,0,-118.2035,-99.95,8.9491,15
actor_critic,57.0,4000,0.75,custom,0.0,none,0.1,0,-82.9567,-78.5,6.7144,14
actor_critic,58.0,4000,0.75,custom,0.0,none,0.01,0,-93.676,-93.75,7.6838,7
actor_critic,59.0,4000,0.75,custom,0.0,none,0.001,0,-117.869,-101.2,8.6632,21
actor_critic,60.0,4000,0.5,default,0.0,none,0.1,0,-97.9398,-93.95,8.5347,24
actor_critic,61.0,4000,0.5,default,0.0,none,0.01,0,-99.4445,-93.15,8.6828,14
actor_critic,62.0,4000,0.5,default,0.0,none,0.001,0,-118.516,-96.45,8.5402,21
actor_critic,63.0,4000,0.5,custom,0.0,none,0.1,0,-96.095,-96.7,8.1261,21
actor_critic,64.0,4000,0.5,custom,0.0,none,0.01,0,-99.1663,-91.95,8.4392,15
actor_critic,65.0,4000,0.5,custom,0.0,none,0.001,0,-118.6248,-104.95,9.073,22
actor_critic,66.0,4000,0.25,default,0.0,none,0.1,0,-97.5282,-94.45,8.5381,24
actor_critic,67.0,4000,0.25,default,0.0,none,0.01,0,-100.6145,-96.65,8.5269,17
actor_critic,68.0,4000,0.25,default,0.0,none,0.001,0,-118.328,-96.2,8.6852,24
actor_critic,69.0,4000,0.25,custom,0.0,none,0.1,0,-98.3487,-94.45,8.9985,22
actor_critic,70.0,4000,0.25,custom,0.0,none,0.01,0,-100.287,-100.0,7.6645,18
actor_critic,71.0,4000,0.25,custom,0.0,none,0.001,0,-118.494,-100.0,7.915,25
actor_critic,72.0,10000,0.99,default,0.0,none,0.1,0,-65.568,-59.9,12.978,6
actor_critic,73.0,10000,0.99,default,0.0,none,0.01,0,-75.6829,-65.75,15.01,6
actor_critic,74.0,10000,0.99,default,0.0,none,0.001,0,-105.53,-100.3,41.9379,10
actor_critic,75.0,10000,0.99,custom,0.0,none,0.1,0,-74.6071,-73.05,29.8587,15
actor_critic,76.0,10000,0.99,custom,0.0,none,0.01,0,-74.3516,-69.1,30.8673,6
