exp_id,alg,episodes,gamma,reward_signal,epsilon,epsilon_decay,lr,lr_decay,reward_train,reward_test,time,optimality
model_based,240.0,500,0.99,default,0.0,none,0.0,0,-208.4018,-231.35,3.7399,9
model_based,241.0,500,0.99,custom,0.0,none,0.0,0,-114.195,-61.05,3.6805,8
model_based,242.0,500,0.75,default,0.0,none,0.0,0,-535.3256,-683.75,0.3591,16
model_based,243.0,500,0.75,custom,0.0,none,0.0,0,-242.5915,-111.5,0.3914,24
model_based,244.0,500,0.5,default,0.0,none,0.0,0,-730.7966,-886.55,0.503,22
model_based,245.0,500,0.5,custom,0.0,none,0.0,0,-377.3195,-113.0,0.3345,18
model_based,246.0,500,0.25,default,0.0,none,0.0,0,-1487.1,-3461.05,0.0679,27
model_based,247.0,500,0.25,custom,0.0,none,0.0,0,-453.1,-307.9,0.101,24
model_based,248.0,4000,0.99,default,0.0,none,0.0,0,-154.9192,-188.55,8.847,6
model_based,249.0,4000,0.99,custom,0.0,none,0.0,0,-170.7822,-315.45,13.3813,6
model_based,250.0,4000,0.75,default,0.0,none,0.0,0,-820.9398,-117.0,0.7314,17
model_based,251.0,4000,0.75,custom,0.0,none,0.0,0,-496.8037,-238.6,0.4438,23
model_based,252.0,4000,0.5,default,0.0,none,0.0,0,-1745.6613,-149.5,0.2373,24
model_based,253.0,4000,0.5,custom,0.0,none,0.0,0,-832.8974,-110.45,0.3036,24
model_based,254.0,4000,0.25,default,0.0,none,0.0,0,-167.8455,-176.45,0.0805,23
model_based,255.0,4000,0.25,custom,0.0,none,0.0,0,-2303.3,-3381.85,0.0684,23
model_based,256.0,10000,0.99,default,0.0,none,0.0,0,-147.3965,-59.35,6.3682,4
model_based,257.0,10000,0.99,custom,0.0,none,0.0,0,-177.8324,-66.9,19.5822,7
model_based,258.0,10000,0.75,default,0.0,none,0.0,0,-496.2118,-642.85,0.4327,23
model_based,259.0,10000,0.75,custom,0.0,none,0.0,0,-555.5868,-639.55,0.4514,20
model_based,260.0,10000,0.5,default,0.0,none,0.0,0,-648.55,-283.15,0.1752,23
model_based,261.0,10000,0.5,custom,0.0,none,0.0,0,-1658.9158,-3362.05,0.307,23
model_based,262.0,10000,0.25,default,0.0,none,0.0,0,-620.3,-288.1,0.1408,23
model_based,263.0,10000,0.25,custom,0.0,none,0.0,0,-552.828,-778.65,0.2039,20
