exp_id,alg,episodes,gamma,reward_signal,epsilon,epsilon_decay,lr,lr_decay,reward_train,reward_test,time,optimality
value_iteration,0.0,500,0.99,default,0.0,none,0.0,0,-71.0748,-70.25,2.3172,8
value_iteration,1.0,500,0.99,custom,0.0,none,0.0,0,-70.8635,-59.3,2.2748,8
value_iteration,2.0,500,0.75,default,0.0,none,0.0,0,-97.1273,-84.0,0.1544,23
value_iteration,3.0,500,0.75,custom,0.0,none,0.0,0,-96.6545,-89.55,0.1538,23
value_iteration,4.0,500,0.5,default,0.0,none,0.0,0,-97.6583,-95.8,0.0925,27
value_iteration,5.0,500,0.5,custom,0.0,none,0.0,0,-97.825,-95.85,0.0856,27
value_iteration,6.0,500,0.25,default,0.0,none,0.0,0,-98.7375,-97.3,0.0594,28
value_iteration,7.0,500,0.25,custom,0.0,none,0.0,0,-99.0375,-94.2,0.0576,28
value_iteration,8.0,4000,0.99,default,0.0,none,0.0,0,-70.4186,-53.55,2.2957,8
value_iteration,9.0,4000,0.99,custom,0.0,none,0.0,0,-70.9892,-64.8,2.2678,8
value_iteration,10.0,4000,0.75,default,0.0,none,0.0,0,-96.8182,-88.7,0.1507,23
value_iteration,11.0,4000,0.75,custom,0.0,none,0.0,0,-94.5318,-90.8,0.1484,23
value_iteration,12.0,4000,0.5,default,0.0,none,0.0,0,-98.1333,-95.9,0.0844,27
value_iteration,13.0,4000,0.5,custom,0.0,none,0.0,0,-97.35,-96.7,0.0837,27
value_iteration,14.0,4000,0.25,default,0.0,none,0.0,0,-99.65,-100.0,0.0582,28
value_iteration,15.0,4000,0.25,custom,0.0,none,0.0,0,-99.5125,-96.45,0.0603,28
value_iteration,16.0,10000,0.99,default,0.0,none,0.0,0,-70.0739,-73.3,2.259,8
value_iteration,17.0,10000,0.99,custom,0.0,none,0.0,0,-70.6553,-58.6,2.2666,8
value_iteration,18.0,10000,0.75,default,0.0,none,0.0,0,-95.8591,-89.25,0.1472,23
value_iteration,19.0,10000,0.75,custom,0.0,none,0.0,0,-95.8455,-90.95,0.1502,23
value_iteration,20.0,10000,0.5,default,0.0,none,0.0,0,-97.15,-96.3,0.0866,27
value_iteration,21.0,10000,0.5,custom,0.0,none,0.0,0,-97.6833,-90.2,0.088,27
value_iteration,22.0,10000,0.25,default,0.0,none,0.0,0,-99.4625,-96.0,0.0606,28
value_iteration,23.0,10000,0.25,custom,0.0,none,0.0,0,-98.1875,-96.8,0.0588,28
